"source"|"name"
"Assignment review page - Google Chrome"|"Assignment review page - Google Chrome"
"https://www.tenmarks.com/student/worksheet/40000110586898 - Google Chrome"|"https://www.tenmarks.com/student/worksheet/40000110586898 - Google Chrome"
"physical - Google Search - Google Chrome"|"physical - Google Search - Google Chrome"
"physical adaptations - Google Search - Google Chrome"|"physical adaptations - Google Search - Google Chrome"
"https://www.youtube.com/watch?v=9bExFvhl-H4 - Google Chrome"|"https://www.youtube.com/watch?v=9bExFvhl-H4 - Google Chrome"
"Animal Adaptations for Survival - PowerKnowledge Life Science - Google Chrome"|"Animal Adaptations for Survival - PowerKnowledge Life Science - Google Chrome"
"Microsoft Word"|"Microsoft Word"
"Document1 - Word"|"Document1 - Word"
"TenMarks, an Amazon company - Google Chrome"|"TenMarks, an Amazon company - Google Chrome"
"Logoff - Google Chrome"|"Logoff - Google Chrome"
"Zelda's Big Comeback - YouTube - Google Chrome"|"Zelda's Big Comeback - YouTube - Google Chrome"
"Action center"|"Action center"
"que significa 48 - Google Search - Google Chrome"|"que significa 48 - Google Search - Google Chrome"
"Enter FSA ID - FAFSA on the Web - Federal Student Aid - Google Chrome"|"Enter FSA ID - FAFSA on the Web - Federal Student Aid - Google Chrome"
"2006 Audi A6 Low Miles - cars & trucks - by owner - vehicle automotive sale - Google Chrome"|"2006 Audi A6 Low Miles - cars & trucks - by owner - vehicle automotive sale - Go"
"2012 Audi A4 SLine - cars & trucks - by owner - vehicle automotive sale - Google Chrome"|"2012 Audi A4 SLine - cars & trucks - by owner - vehicle automotive sale - Google"
"south florida for sale ""audi"" - craigslist - Google Chrome"|"south florida for sale ""audi"" - craigslist - Google Chrome"
"2014 Ford Mustang V6 Premium Coupe 2D - cars & trucks - by owner - vehicle automotive sale - Google Chrome"|"2014 Ford Mustang V6 Premium Coupe 2D - cars & trucks - by owner - vehicle autom"
"FSA ID - Google Chrome"|"FSA ID - Google Chrome"
"Official Miami Dade College Homepage - Google Chrome"|"Official Miami Dade College Homepage - Google Chrome"
"2012 Audi S4 - Extremely Clean - cars & trucks - by owner - vehicle automotive sale - Google Chrome"|"2012 Audi S4 - Extremely Clean - cars & trucks - by owner - vehicle automotive s"
"Processed Information - FAFSA on the Web - Federal Student Aid - Google Chrome"|"Processed Information - FAFSA on the Web - Federal Student Aid - Google Chrome"
"2009 Audi A4 2.0T quattro Premium Plus Sedan AWD CLEAN TITLE - cars & trucks - by owner - vehicle automotive sale - Google Chrome"|"2009 Audi A4 2.0T quattro Premium Plus Sedan AWD CLEAN TITLE - cars & trucks - b"
"technical analyst - Google Search - Google Chrome"|"technical analyst - Google Search - Google Chrome"
"FBI Intelligence Analyst Jobs and Salary - Google Chrome"|"FBI Intelligence Analyst Jobs and Salary - Google Chrome"
"the history of intelligence analysis - Google Search - Google Chrome"|"the history of intelligence analysis - Google Search - Google Chrome"
"www.google.com wants to"|"www.google.com wants to"
"Intelligence Analysis and the Bureau.pdf - Adobe Acrobat Reader DC"|"Intelligence Analysis and the Bureau.pdf - Adobe Acrobat Reader DC"
"AcroRd32"|"AcroRd32"
"Welcome to Chrome - Google Chrome (Not Responding)"|"Welcome to Chrome - Google Chrome (Not Responding)"
"business analyst job description - Google Search - Google Chrome"|"business analyst job description - Google Search - Google Chrome"
"https://www.google.com/search?safe=strict&rlz=1C1GCEA_enUS791US791&ei=b73DWv3xIJGV5wKm5Z_QCA&q=benefits+of+being+a+veterinarian&oq=benefits+of+&gs_l=psy-ab.1.0.0i67k1l2j0l5j0i131k1j0l2.34507.37661.0.39756.12.9.0.3.3.0.156.728.7j2.9.0....0...1c.1.64.psy-ab..0.12.765....0.DHs0-Hr5Pws - Google Chrome"|"https://www.google.com/search?safe=strict&rlz=1C1GCEA_enUS791US791&ei=b73DWv3xIJ"
"edmodo - Google Search - Google Chrome"|"edmodo - Google Search - Google Chrome"
"benefits of being a veterinarian - Google Search - Google Chrome"|"benefits of being a veterinarian - Google Search - Google Chrome"
"Careers.org | Site Search Results for: vetenarian - Careers.org - Google Chrome"|"Careers.org | Site Search Results for: vetenarian - Careers.org - Google Chrome"
"Careers.org | Career Research, Reference, Information, Resources, Evaluation - Careers.org - Google Chrome"|"Careers.org | Career Research, Reference, Information, Resources, Evaluation - C"
"average individual income us 2017 - Google Search - Google Chrome"|"average individual income us 2017 - Google Search - Google Chrome"
"average medical school debt - Google Search - Google Chrome"|"average medical school debt - Google Search - Google Chrome"
"Convert my hourly wage to an equivalent annual salary - Google Chrome"|"Convert my hourly wage to an equivalent annual salary - Google Chrome"
"35% of 15764105 - Google Search - Google Chrome"|"35% of 15764105 - Google Search - Google Chrome"
