name|orgId|parentId|created_at|updated_at|createdAt|updatedAt
DISTRICT_IT_ADMIN|58|190|2018-11-19 19:24:15|2018-11-19 19:24:15||
DISTRICT_BUS_OFFICIAL|58|187|2018-11-19 19:24:17|2018-11-19 19:24:17||
DISTRICT_SUPT|58|192|2018-11-19 19:24:17|2018-11-19 19:24:17||
orgadmin|61|0|2018-11-28 03:50:30|2018-11-28 03:50:30||
GUEST|61|0|2018-11-28 05:13:30|2018-11-28 05:13:30||
REPORT_VIEWER|61|195|2018-11-28 05:26:20|2018-11-28 05:26:20||
SCHOOL_TEACHER|61|196|2018-11-28 05:26:20|2018-11-28 05:26:20||
SCHOOL_PRINCIPAL|61|197|2018-11-28 05:26:21|2018-11-28 05:26:21||
SCHOOL_ADMIN|61|198|2018-11-28 05:26:21|2018-11-28 05:26:21||
DISTRICT_IT_ADMIN|61|199|2018-11-28 05:26:21|2018-11-28 05:26:21||
DISTRICT_BUS_OFFICIAL|61|196|2018-11-28 05:26:21|2018-11-28 05:26:21||
DISTRICT_SUPT|61|201|2018-11-28 05:26:21|2018-11-28 05:26:21||
orgadmin|62|0|2018-11-29 19:12:50|2018-11-29 19:12:50||
orgadmin|63|0|2018-11-29 19:37:08|2018-11-29 19:37:08||
orgadmin|64|0|2018-12-12 18:42:08|2018-12-12 18:42:08||
orgadmin|65|0|2018-12-13 22:33:54|2018-12-13 22:33:54||
orgadmin|66|0|2018-12-15 00:43:15|2018-12-15 00:43:15||
orgadmin|67|0|2019-02-21 15:02:39|2019-02-21 15:02:39||
orgadmin|68|0|2019-03-04 19:13:47|2019-03-04 19:13:47||
orgadmin|72|0|2019-03-07 18:38:57|2019-03-07 18:38:57||
orgadmin|73|0|2019-04-12 12:35:42|2019-04-12 12:35:42||
