dt|_ent|_snd|_os|_all
2019-03-01|2019-04-08 19:58:29|2019-04-08 20:07:56|2019-04-08 20:01:54|NULL
2019-03-02|2019-04-08 19:58:28|2019-04-08 20:07:54|2019-04-08 20:01:53|NULL
2019-03-03|2019-04-08 19:58:28|2019-04-08 20:07:54|2019-04-08 20:01:53|NULL
2019-03-04|2019-04-08 19:58:28|2019-04-08 20:07:54|2019-04-08 20:01:53|NULL
2019-03-05|2019-04-08 19:58:27|2019-04-08 20:07:52|2019-04-08 20:01:52|NULL
2019-03-06|2019-04-08 19:58:27|2019-04-08 20:07:52|2019-04-08 20:01:50|NULL
2019-03-07|2019-04-08 19:58:26|2019-04-08 20:07:50|2019-04-08 20:01:49|NULL
2019-03-08|2019-04-08 19:58:25|2019-04-08 20:07:49|2019-04-08 20:01:48|NULL
2019-03-09|2019-04-08 19:58:24|2019-04-08 20:07:48|2019-04-08 20:01:46|NULL
2019-03-10|2019-04-08 19:58:24|2019-04-08 20:07:47|2019-04-08 20:01:46|NULL
2019-03-11|2019-04-08 19:58:24|2019-04-08 20:07:47|2019-04-08 20:01:46|NULL
2019-03-12|2019-04-08 19:58:24|2019-04-08 20:07:45|2019-04-08 20:01:45|NULL
2019-03-13|2019-04-08 19:58:23|2019-04-08 20:07:44|2019-04-08 20:01:43|NULL
2019-03-14|2019-04-08 19:58:22|2019-04-08 20:07:43|2019-04-08 20:01:42|NULL
2019-03-15|2019-04-08 19:58:22|2019-04-08 20:07:42|2019-04-08 20:01:41|NULL
2019-03-16|2019-04-08 19:58:21|2019-04-08 20:07:41|2019-04-08 20:01:40|NULL
2019-03-17|2019-04-08 19:58:21|2019-04-08 20:07:41|2019-04-08 20:01:40|NULL
2019-03-18|2019-04-08 19:58:21|2019-04-08 20:07:40|2019-04-08 20:01:40|NULL
2019-03-19|2019-04-08 19:58:21|2019-04-08 20:07:39|2019-04-08 20:01:38|NULL
2019-03-20|2019-04-08 19:58:20|2019-04-08 20:07:37|2019-04-08 20:01:37|NULL
2019-03-21|2019-04-08 19:58:19|2019-04-08 20:07:36|2019-04-08 20:01:35|NULL
2019-03-22|2019-04-08 19:58:19|2019-04-08 20:07:35|2019-04-08 20:01:34|NULL
2019-03-23|2019-04-08 19:58:18|2019-04-08 20:07:34|2019-04-08 20:01:33|NULL
2019-03-24|2019-04-08 19:58:18|2019-04-08 20:07:34|2019-04-08 20:01:33|NULL
2019-03-25|2019-04-08 19:58:18|2019-04-08 20:07:34|2019-04-08 20:01:33|NULL
2019-03-26|2019-04-08 19:58:18|2019-04-08 20:07:34|2019-04-08 20:01:33|NULL
2019-03-27|2019-04-08 19:58:18|2019-04-08 20:07:34|2019-04-08 20:01:32|NULL
2019-03-28|2019-04-08 19:58:18|2019-04-08 20:07:34|2019-04-08 20:01:32|NULL
2019-03-29|2019-04-08 19:58:18|2019-04-08 20:07:33|2019-04-08 20:01:32|NULL
2019-03-30|2019-04-08 19:58:17|2019-04-08 20:07:33|2019-04-08 20:01:32|NULL
2019-03-31|2019-04-08 19:58:17|2019-04-08 20:07:33|2019-04-08 20:01:32|NULL
2019-04-01|2019-04-08 19:58:17|2019-04-08 20:07:33|2019-04-08 20:01:31|NULL
2019-04-02|2019-04-08 19:58:17|2019-04-08 20:07:31|2019-04-08 20:01:30|NULL
2019-04-03|2019-04-08 19:58:16|2019-04-08 20:07:30|2019-04-08 20:01:29|NULL
2019-04-04|2019-04-08 19:58:15|2019-04-08 20:07:28|2019-04-08 20:01:27|NULL
2019-04-05|2019-04-08 19:58:13|2019-04-08 20:07:25|2019-04-08 20:01:24|NULL
2019-04-06|2019-04-08 19:58:13|2019-04-08 20:07:25|2019-04-08 20:01:24|NULL
2019-04-07|2019-04-08 19:58:13|2019-04-08 20:07:25|2019-04-08 20:01:24|NULL
2019-04-08|2019-04-09 07:04:27|2019-04-09 07:04:27|2019-04-09 07:04:27|NULL
2019-04-09|2019-04-10 07:17:19|2019-04-10 07:17:34|2019-04-10 07:17:23|NULL
