id|name|action|orgId|userId|roleId|entityId|created_at|updated_at|createdAt|updatedAt
679|ENTITIES_NOTIFY|ADD|32|NULL|127|NULL|2017-09-26 18:54:06|2017-09-26 18:54:06|NULL|NULL
680|FAVORITES_CREATE|ADD|32|NULL|127|NULL|2017-09-26 18:54:06|2017-09-26 18:54:06|NULL|NULL
681|FAVORITES_READ|ADD|32|NULL|127|NULL|2017-09-26 18:54:06|2017-09-26 18:54:06|NULL|NULL
682|FAVORITES_UPDATE|ADD|32|NULL|127|NULL|2017-09-26 18:54:06|2017-09-26 18:54:06|NULL|NULL
683|FAVORITES_DELETE|ADD|32|NULL|127|NULL|2017-09-26 18:54:06|2017-09-26 18:54:06|NULL|NULL
684|FAVORITES_NOTIFY|ADD|32|NULL|127|NULL|2017-09-26 18:54:06|2017-09-26 18:54:06|NULL|NULL
685|SETTINGS_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
686|SETTINGS_UPDATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
687|SETTINGS_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
688|RESOURCES_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
689|RESOURCES_UPDATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
690|RESOURCES_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
691|REPORTS_CREATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
692|REPORTS_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
693|REPORTS_EXPORT|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
694|REPORTS_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
695|REPORTS_MOST_PRODUCTIVE_CREATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
696|REPORTS_MOST_PRODUCTIVE_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
697|REPORTS_MOST_PRODUCTIVE_EXPORT|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
698|REPORTS_MOST_PRODUCTIVE_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
699|REPORTS_ACTIVITY_USE_CREATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
700|REPORTS_ACTIVITY_USE_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
701|REPORTS_ACTIVITY_USE_EXPORT|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
702|REPORTS_ACTIVITY_USE_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
703|REPORTS_LEAST_PRODUCTIVE_CREATE|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
704|REPORTS_LEAST_PRODUCTIVE_READ|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
705|REPORTS_LEAST_PRODUCTIVE_EXPORT|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
706|REPORTS_LEAST_PRODUCTIVE_NOTIFY|ADD|23|NULL|129|NULL|2017-09-28 19:24:17|2017-09-28 19:24:17|NULL|NULL
