id|name|machineId|orgId|created_at|updated_at
1569|WMC-FD03|34-E6-D7-30-EC-B0|25|2018-04-20 23:24:02|2018-04-20 23:24:02
1570|WMC-FD03|24-B6-FD-5B-82-D0|25|2018-04-20 23:24:02|2018-04-20 23:24:02
1572|WMC-FD03|18-66-DA-23-28-64|25|2018-04-20 23:24:12|2018-04-20 23:24:12
1577|WMC-FD03|WMC-FD03|25|2018-04-20 23:25:41|2018-04-20 23:25:41
1579|WMC-FD03|56-13-79-A7-E3-9B|25|2018-04-20 23:27:31|2018-04-20 23:27:31
1580|WMC-FD03|18-66-DA-23-21-1A|25|2018-04-20 23:27:32|2018-04-20 23:27:32
1589|WMC-FD03|34-E6-D7-30-EC-7A|25|2018-04-20 23:35:17|2018-04-20 23:35:17
1597|WMC-FD03|1A-CF-5E-37-F6-15|25|2018-04-20 23:41:06|2018-04-20 23:41:06
1601|0521-4190Y8S|A0-2B-B8-3B-55-E8|39|2018-04-21 08:08:39|2018-04-21 08:08:39
1602|CTM-P09-2007-01|B8-CA-3A-9D-21-6C|25|2018-04-21 08:10:31|2018-04-21 08:10:31
1604|7071-6418HC6|EC-8E-B5-32-D5-E5|39|2018-04-21 08:30:25|2018-04-21 08:30:25
1605|9309-LR09LCWD|A8-1E-84-C8-2F-DA|39|2018-04-21 08:43:16|2018-04-21 08:43:16
1606|9309-LR09LCWD|A8-1E-84-C8-2F-DA|25|2018-04-21 08:43:17|2018-04-21 08:43:17
1607|tosh|16-E5-43-F4-3C-33|25|2018-04-21 10:10:46|2018-04-21 10:10:46
1608|tosh|9C-EB-E8-39-CB-03|25|2018-04-21 10:10:46|2018-04-21 10:10:46
1609|tosh|FC-4D-D4-3D-27-49|25|2018-04-21 10:12:39|2018-04-21 10:12:39
1610|tosh|FC-4D-D4-3D-27-60|25|2018-04-21 10:13:10|2018-04-21 10:13:10
1611|tosh|9C-EB-E8-39-CB-03|24|2018-04-21 10:13:20|2018-04-21 10:13:20
1612|tosh|FC-4D-D4-3D-27-60|24|2018-04-21 10:14:30|2018-04-21 10:14:30
