entityId|childId|orgId
1|1|1
1|2|1
1|3|1
1|4|1
1|5|1
1|6|1
1|7|1
2|2|1
2|5|1
2|6|1
3|3|1
3|7|1
4|4|1
5|5|1
6|6|1
7|7|1
37|37|1
43|43|25
43|47|25
43|48|25
47|47|25
48|48|25
119|119|25
88|88|32
88|89|32
88|90|32
89|89|32
90|90|32
98|98|36
98|99|36
98|100|36
99|99|36
100|100|36
107|107|39
107|110|39
107|119|39
107|120|39
107|121|39
107|122|39
107|123|39
110|110|39
120|120|39
121|121|39
122|122|39
123|123|39
124|124|43
124|126|43
124|127|43
124|128|43
124|129|43
124|130|43
124|131|43
124|132|43
124|133|43
124|134|43
124|135|43
124|136|43
124|137|43
124|138|43
124|139|43
124|140|43
124|141|43
124|142|43
124|143|43
124|144|43
124|145|43
124|146|43
124|147|43
124|148|43
124|149|43
124|150|43
124|151|43
124|152|43
124|153|43
124|154|43
126|126|43
127|127|43
128|128|43
129|129|43
130|130|43
131|131|43
132|132|43
133|133|43
134|134|43
135|135|43
136|136|43
137|137|43
138|138|43
139|139|43
140|140|43
141|141|43
142|142|43
143|143|43
144|144|43
145|145|43
146|146|43
147|147|43
148|148|43
149|149|43
150|150|43
151|151|43
152|152|43
153|153|43
154|154|43
155|155|44
155|156|44
155|157|44
155|158|44
155|159|44
155|160|44
155|161|44
156|156|44
157|157|44
158|158|44
159|159|44
160|160|44
161|161|44
172|172|49
172|173|49
172|174|49
172|175|49
173|173|49
174|174|49
175|175|49
176|176|68
177|177|72
178|178|73
